terrain,roi,season,tile,patch,sar_path,optical_path,filename
agri,ROIs1868,summer,59,p10,datasets\sentinel12\v_2\agri\s1\ROIs1868_summer_s1_59_p10.png,datasets\sentinel12\v_2\agri\s2\ROIs1868_summer_s2_59_p10.png,ROIs1868_summer_s1_59_p10.png
agri,ROIs1868,summer,59,p100,datasets\sentinel12\v_2\agri\s1\ROIs1868_summer_s1_59_p100.png,datasets\sentinel12\v_2\agri\s2\ROIs1868_summer_s2_59_p100.png,ROIs1868_summer_s1_59_p100.png
agri,ROIs1868,summer,59,p1000,datasets\sentinel12\v_2\agri\s1\ROIs1868_summer_s1_59_p1000.png,datasets\sentinel12\v_2\agri\s2\ROIs1868_summer_s2_59_p1000.png,ROIs1868_summer_s1_59_p1000.png
agri,ROIs1868,summer,59,p1001,datasets\sentinel12\v_2\agri\s1\ROIs1868_summer_s1_59_p1001.png,datasets\sentinel12\v_2\agri\s2\ROIs1868_summer_s2_59_p1001.png,ROIs1868_summer_s1_59_p1001.png
agri,ROIs1868,summer,59,p1002,datasets\sentinel12\v_2\agri\s1\ROIs1868_summer_s1_59_p1002.png,datasets\sentinel12\v_2\agri\s2\ROIs1868_summer_s2_59_p1002.png,ROIs1868_summer_s1_59_p1002.png
agri,ROIs1868,summer,59,p1003,datasets\sentinel12\v_2\agri\s1\ROIs1868_summer_s1_59_p1003.png,datasets\sentinel12\v_2\agri\s2\ROIs1868_summer_s2_59_p1003.png,ROIs1868_summer_s1_59_p1003.png
agri,ROIs1868,summer,59,p1004,datasets\sentinel12\v_2\agri\s1\ROIs1868_summer_s1_59_p1004.png,datasets\sentinel12\v_2\agri\s2\ROIs1868_summer_s2_59_p1004.png,ROIs1868_summer_s1_59_p1004.png
agri,ROIs1868,summer,59,p1005,datasets\sentinel12\v_2\agri\s1\ROIs1868_summer_s1_59_p1005.png,datasets\sentinel12\v_2\agri\s2\ROIs1868_summer_s2_59_p1005.png,ROIs1868_summer_s1_59_p1005.png
agri,ROIs1868,summer,59,p1006,datasets\sentinel12\v_2\agri\s1\ROIs1868_summer_s1_59_p1006.png,datasets\sentinel12\v_2\agri\s2\ROIs1868_summer_s2_59_p1006.png,ROIs1868_summer_s1_59_p1006.png
agri,ROIs1868,summer,59,p1007,datasets\sentinel12\v_2\agri\s1\ROIs1868_summer_s1_59_p1007.png,datasets\sentinel12\v_2\agri\s2\ROIs1868_summer_s2_59_p1007.png,ROIs1868_summer_s1_59_p1007.png
agri,ROIs1868,summer,59,p1008,datasets\sentinel12\v_2\agri\s1\ROIs1868_summer_s1_59_p1008.png,datasets\sentinel12\v_2\agri\s2\ROIs1868_summer_s2_59_p1008.png,ROIs1868_summer_s1_59_p1008.png
agri,ROIs1868,summer,59,p1009,datasets\sentinel12\v_2\agri\s1\ROIs1868_summer_s1_59_p1009.png,datasets\sentinel12\v_2\agri\s2\ROIs1868_summer_s2_59_p1009.png,ROIs1868_summer_s1_59_p1009.png
agri,ROIs1868,summer,59,p101,datasets\sentinel12\v_2\agri\s1\ROIs1868_summer_s1_59_p101.png,datasets\sentinel12\v_2\agri\s2\ROIs1868_summer_s2_59_p101.png,ROIs1868_summer_s1_59_p101.png
agri,ROIs1868,summer,59,p1010,datasets\sentinel12\v_2\agri\s1\ROIs1868_summer_s1_59_p1010.png,datasets\sentinel12\v_2\agri\s2\ROIs1868_summer_s2_59_p1010.png,ROIs1868_summer_s1_59_p1010.png
agri,ROIs1868,summer,59,p1011,datasets\sentinel12\v_2\agri\s1\ROIs1868_summer_s1_59_p1011.png,datasets\sentinel12\v_2\agri\s2\ROIs1868_summer_s2_59_p1011.png,ROIs1868_summer_s1_59_p1011.png
agri,ROIs1868,summer,59,p1012,datasets\sentinel12\v_2\agri\s1\ROIs1868_summer_s1_59_p1012.png,datasets\sentinel12\v_2\agri\s2\ROIs1868_summer_s2_59_p1012.png,ROIs1868_summer_s1_59_p1012.png
agri,ROIs1868,summer,59,p1013,datasets\sentinel12\v_2\agri\s1\ROIs1868_summer_s1_59_p1013.png,datasets\sentinel12\v_2\agri\s2\ROIs1868_summer_s2_59_p1013.png,ROIs1868_summer_s1_59_p1013.png
agri,ROIs1868,summer,59,p1014,datasets\sentinel12\v_2\agri\s1\ROIs1868_summer_s1_59_p1014.png,datasets\sentinel12\v_2\agri\s2\ROIs1868_summer_s2_59_p1014.png,ROIs1868_summer_s1_59_p1014.png
agri,ROIs1868,summer,59,p1015,datasets\sentinel12\v_2\agri\s1\ROIs1868_summer_s1_59_p1015.png,datasets\sentinel12\v_2\agri\s2\ROIs1868_summer_s2_59_p1015.png,ROIs1868_summer_s1_59_p1015.png
agri,ROIs1868,summer,59,p1016,datasets\sentinel12\v_2\agri\s1\ROIs1868_summer_s1_59_p1016.png,datasets\sentinel12\v_2\agri\s2\ROIs1868_summer_s2_59_p1016.png,ROIs1868_summer_s1_59_p1016.png
agri,ROIs1868,summer,59,p1017,datasets\sentinel12\v_2\agri\s1\ROIs1868_summer_s1_59_p1017.png,datasets\sentinel12\v_2\agri\s2\ROIs1868_summer_s2_59_p1017.png,ROIs1868_summer_s1_59_p1017.png
agri,ROIs1868,summer,59,p1018,datasets\sentinel12\v_2\agri\s1\ROIs1868_summer_s1_59_p1018.png,datasets\sentinel12\v_2\agri\s2\ROIs1868_summer_s2_59_p1018.png,ROIs1868_summer_s1_59_p1018.png
agri,ROIs1868,summer,59,p1019,datasets\sentinel12\v_2\agri\s1\ROIs1868_summer_s1_59_p1019.png,datasets\sentinel12\v_2\agri\s2\ROIs1868_summer_s2_59_p1019.png,ROIs1868_summer_s1_59_p1019.png
agri,ROIs1868,summer,59,p102,datasets\sentinel12\v_2\agri\s1\ROIs1868_summer_s1_59_p102.png,datasets\sentinel12\v_2\agri\s2\ROIs1868_summer_s2_59_p102.png,ROIs1868_summer_s1_59_p102.png
agri,ROIs1868,summer,59,p1020,datasets\sentinel12\v_2\agri\s1\ROIs1868_summer_s1_59_p1020.png,datasets\sentinel12\v_2\agri\s2\ROIs1868_summer_s2_59_p1020.png,ROIs1868_summer_s1_59_p1020.png
agri,ROIs1868,summer,59,p1021,datasets\sentinel12\v_2\agri\s1\ROIs1868_summer_s1_59_p1021.png,datasets\sentinel12\v_2\agri\s2\ROIs1868_summer_s2_59_p1021.png,ROIs1868_summer_s1_59_p1021.png
agri,ROIs1868,summer,59,p1022,datasets\sentinel12\v_2\agri\s1\ROIs1868_summer_s1_59_p1022.png,datasets\sentinel12\v_2\agri\s2\ROIs1868_summer_s2_59_p1022.png,ROIs1868_summer_s1_59_p1022.png
agri,ROIs1868,summer,59,p1023,datasets\sentinel12\v_2\agri\s1\ROIs1868_summer_s1_59_p1023.png,datasets\sentinel12\v_2\agri\s2\ROIs1868_summer_s2_59_p1023.png,ROIs1868_summer_s1_59_p1023.png
agri,ROIs1868,summer,59,p1024,datasets\sentinel12\v_2\agri\s1\ROIs1868_summer_s1_59_p1024.png,datasets\sentinel12\v_2\agri\s2\ROIs1868_summer_s2_59_p1024.png,ROIs1868_summer_s1_59_p1024.png
agri,ROIs1868,summer,59,p1025,datasets\sentinel12\v_2\agri\s1\ROIs1868_summer_s1_59_p1025.png,datasets\sentinel12\v_2\agri\s2\ROIs1868_summer_s2_59_p1025.png,ROIs1868_summer_s1_59_p1025.png
agri,ROIs1868,summer,59,p1026,datasets\sentinel12\v_2\agri\s1\ROIs1868_summer_s1_59_p1026.png,datasets\sentinel12\v_2\agri\s2\ROIs1868_summer_s2_59_p1026.png,ROIs1868_summer_s1_59_p1026.png
agri,ROIs1868,summer,59,p1027,datasets\sentinel12\v_2\agri\s1\ROIs1868_summer_s1_59_p1027.png,datasets\sentinel12\v_2\agri\s2\ROIs1868_summer_s2_59_p1027.png,ROIs1868_summer_s1_59_p1027.png
agri,ROIs1868,summer,59,p1028,datasets\sentinel12\v_2\agri\s1\ROIs1868_summer_s1_59_p1028.png,datasets\sentinel12\v_2\agri\s2\ROIs1868_summer_s2_59_p1028.png,ROIs1868_summer_s1_59_p1028.png
agri,ROIs1868,summer,59,p1029,datasets\sentinel12\v_2\agri\s1\ROIs1868_summer_s1_59_p1029.png,datasets\sentinel12\v_2\agri\s2\ROIs1868_summer_s2_59_p1029.png,ROIs1868_summer_s1_59_p1029.png
agri,ROIs1868,summer,59,p103,datasets\sentinel12\v_2\agri\s1\ROIs1868_summer_s1_59_p103.png,datasets\sentinel12\v_2\agri\s2\ROIs1868_summer_s2_59_p103.png,ROIs1868_summer_s1_59_p103.png
agri,ROIs1868,summer,59,p1030,datasets\sentinel12\v_2\agri\s1\ROIs1868_summer_s1_59_p1030.png,datasets\sentinel12\v_2\agri\s2\ROIs1868_summer_s2_59_p1030.png,ROIs1868_summer_s1_59_p1030.png
agri,ROIs1868,summer,59,p1031,datasets\sentinel12\v_2\agri\s1\ROIs1868_summer_s1_59_p1031.png,datasets\sentinel12\v_2\agri\s2\ROIs1868_summer_s2_59_p1031.png,ROIs1868_summer_s1_59_p1031.png
agri,ROIs1868,summer,59,p1032,datasets\sentinel12\v_2\agri\s1\ROIs1868_summer_s1_59_p1032.png,datasets\sentinel12\v_2\agri\s2\ROIs1868_summer_s2_59_p1032.png,ROIs1868_summer_s1_59_p1032.png
agri,ROIs1868,summer,59,p1033,datasets\sentinel12\v_2\agri\s1\ROIs1868_summer_s1_59_p1033.png,datasets\sentinel12\v_2\agri\s2\ROIs1868_summer_s2_59_p1033.png,ROIs1868_summer_s1_59_p1033.png
agri,ROIs1868,summer,59,p1034,datasets\sentinel12\v_2\agri\s1\ROIs1868_summer_s1_59_p1034.png,datasets\sentinel12\v_2\agri\s2\ROIs1868_summer_s2_59_p1034.png,ROIs1868_summer_s1_59_p1034.png
agri,ROIs1868,summer,59,p1035,datasets\sentinel12\v_2\agri\s1\ROIs1868_summer_s1_59_p1035.png,datasets\sentinel12\v_2\agri\s2\ROIs1868_summer_s2_59_p1035.png,ROIs1868_summer_s1_59_p1035.png
agri,ROIs1868,summer,59,p1036,datasets\sentinel12\v_2\agri\s1\ROIs1868_summer_s1_59_p1036.png,datasets\sentinel12\v_2\agri\s2\ROIs1868_summer_s2_59_p1036.png,ROIs1868_summer_s1_59_p1036.png
agri,ROIs1868,summer,59,p1037,datasets\sentinel12\v_2\agri\s1\ROIs1868_summer_s1_59_p1037.png,datasets\sentinel12\v_2\agri\s2\ROIs1868_summer_s2_59_p1037.png,ROIs1868_summer_s1_59_p1037.png
